,,,,,,,,
,,,@trev_barry's tweets,Exported on 12 Mar 2018 - 3:13 PM (GMT-7) with http://www.twitonomy.com,,,,
28/08/2017 02:01:32,@trev_barry,Trevor Franklin,@WhitePeopIeCray @mlev28 b/c of your background on your Twitter 😂,https://twitter.com/trev_barry/status/901988086112014336,Twitter for Android,Reply (native),0.00,1.00
27/08/2017 18:19:08,@trev_barry,Trevor Franklin,That feeling of despair when you ironically say an overused meme but then it sneaks into your vocabulary anyway,https://twitter.com/trev_barry/status/901871718431690752,Twitter for Android,New,0.00,4.00
25/08/2017 19:52:33,@trev_barry,Trevor Franklin,RT @HamillHimself: She will always be with us. #MiddleFingerFriday https://t.co/JHfSIRm8n0,https://twitter.com/trev_barry/status/901170451401068544,Twitter for Android,Retweet (native),"9,460.00","39,840.00"
23/08/2017 18:26:15,@trev_barry,Trevor Franklin,That feeling of kinship when you and a stranger realise you both hate the angry Cheeto that is out president,https://twitter.com/trev_barry/status/900423956917891074,Twitter for Android,New,0.00,1.00
22/08/2017 15:25:00,@trev_barry,Trevor Franklin,@Freestyle_Piano Shoot that had me shook 😂,https://twitter.com/trev_barry/status/900015957258719233,Twitter for Android,Reply (native),0.00,1.00
22/08/2017 14:20:14,@trev_barry,Trevor Franklin,I'm truly terrified to ship anyone in Game of Thrones or Star Wars out of fear they're related somehow,https://twitter.com/trev_barry/status/899999656977018881,Twitter for Android,New,0.00,1.00
21/08/2017 22:09:06,@trev_barry,Trevor Franklin,@WeAreGirICodes @WhitePeopIeCray @alli_contrary idk why but I thought you needed to see this 😂,https://twitter.com/trev_barry/status/899755263481327616,Twitter for Android,Reply (native),0.00,3.00
21/08/2017 22:06:36,@trev_barry,Trevor Franklin,"RT @Space_Station: Millions of people saw #Eclipse2017 but only six people saw the umbra, or the moon's shadow, over the United States from…",https://twitter.com/trev_barry/status/899754637334544384,Twitter for Android,Retweet (native),"21,456.00","39,134.00"
21/08/2017 22:02:47,@trev_barry,Trevor Franklin,RT @ScottGustin: International Space Station #Eclipse photobomb via @NASA https://t.co/NashX5OCEX,https://twitter.com/trev_barry/status/899753676494913536,Twitter for Android,Retweet (native),"62,342.00","148,752.00"
21/08/2017 18:07:58,@trev_barry,Trevor Franklin,@NASA_Technology Almost done https://t.co/ckQEPTAqBm,https://twitter.com/trev_barry/status/899694579913564162,Twitter for Android,Reply (native),0.00,2.00
21/08/2017 17:44:53,@trev_barry,Trevor Franklin,Self love is liking your own tweets,https://twitter.com/trev_barry/status/899688773138698241,Twitter for Android,New,0.00,6.00
21/08/2017 17:44:15,@trev_barry,Trevor Franklin,@NASA_Technology About a third of the way done https://t.co/xR04rQUbfO,https://twitter.com/trev_barry/status/899688614006841347,Twitter for Android,Reply (native),0.00,1.00
21/08/2017 17:06:43,@trev_barry,Trevor Franklin,It's started. 2017 eclipse has begun! https://t.co/aqicT9z6l9,https://twitter.com/trev_barry/status/899679167620501505,Twitter for Android,New,0.00,9.00
20/08/2017 22:05:46,@trev_barry,Trevor Franklin,There is not a more lawless place than the inside of a 7-11 bathroom,https://twitter.com/trev_barry/status/899392039045009408,Twitter for Android,New,0.00,1.00
20/08/2017 20:08:53,@trev_barry,Trevor Franklin,RT @MSUCapGreen: Audition information is posted on our Facebook page!! We're very excited to add to our CG fam!,https://twitter.com/trev_barry/status/899362624399433728,Twitter for Android,Retweet (native),4.00,7.00
20/08/2017 16:43:38,@trev_barry,Trevor Franklin,"Flirting 101
Send her memes to make her fall in love with you. It's foolproof",https://twitter.com/trev_barry/status/899310969226240000,Twitter for Android,New,0.00,5.00
20/08/2017 16:43:37,@trev_barry,Trevor Franklin,They're garbage. Next? https://t.co/ljyVlkCeGO,https://twitter.com/trev_barry/status/899310968005644290,Twitter for Android,New,0.00,4.00
18/08/2017 02:31:43,@trev_barry,Trevor Franklin,Does anyone else see notifications on your phone but wait to respond b/c you don't want people to know how much time you spend online?,https://twitter.com/trev_barry/status/898371803319599106,Twitter for Android,New,2.00,3.00
17/08/2017 16:24:03,@trev_barry,Trevor Franklin,RT @_jakethedank: imagine a world where space &amp; deep sea exploration is funded more than wars are. sounds pretty dank to me.,https://twitter.com/trev_barry/status/898218880732213249,Twitter for Android,Retweet (native),499.00,990.00
15/08/2017 16:04:53,@trev_barry,Trevor Franklin,@cori_616 Shoot #savage,https://twitter.com/trev_barry/status/897489279068381188,Twitter for Android,Reply (native),0.00,1.00
15/08/2017 04:04:43,@trev_barry,Trevor Franklin,"""I don't often tweet, but when I do it's fire"" I mumble to myself alone at midnight",https://twitter.com/trev_barry/status/897308044425666560,Twitter for Android,New,0.00,2.00
15/08/2017 01:08:44,@trev_barry,Trevor Franklin,"I feel like that in high school the number of people who say ""bless you"" is proportional to how popular you were.",https://twitter.com/trev_barry/status/897263757071659010,Twitter for Android,New,0.00,13.00
13/08/2017 21:43:39,@trev_barry,Trevor Franklin,"RT @jeshuanimmo: If you support nazism or any racial movement you are not a patriotic American, you're only American because your useless l…",https://twitter.com/trev_barry/status/896849757481701376,Twitter for Android,Retweet (native),7.00,8.00
13/08/2017 17:45:25,@trev_barry,Trevor Franklin,RT @Chantelxxx_: And there's still soo many people that say racism doesn't exist today. Oooo baby,https://twitter.com/trev_barry/status/896789805073260545,Twitter for Android,Retweet (native),1.00,2.00
13/08/2017 04:11:42,@trev_barry,Trevor Franklin,"Pro tip: Don't bitch about your job on Twitter.
 Do what everyone else does and write anonymous savage reviews on Yelp about your workplace.",https://twitter.com/trev_barry/status/896585027110264833,Twitter for Android,New,0.00,7.00
12/08/2017 19:41:16,@trev_barry,Trevor Franklin,"I'm going to be productive today

*watches vines from 2013 all day*",https://twitter.com/trev_barry/status/896456569126346752,Twitter for Android,New,0.00,8.00
12/08/2017 16:22:33,@trev_barry,Trevor Franklin,"Me @ 2 am: *wakes up with a fire tweet idea &amp; writes it down*

Me in the morning: a plastic fork that doubles as weapon???",https://twitter.com/trev_barry/status/896406563308662785,Twitter for Android,New,0.00,8.00
09/08/2017 16:34:53,@trev_barry,Trevor Franklin,@brendan_paul281 @KaiSchiefer Retweet^^,https://twitter.com/trev_barry/status/895322500304850945,Twitter for Android,Reply (native),0.00,1.00
09/08/2017 12:38:07,@trev_barry,Trevor Franklin,@KaiSchiefer I was inspired when you sent in the photo lol 😂,https://twitter.com/trev_barry/status/895262917721022464,Twitter for Android,New,0.00,0.00
08/08/2017 23:29:37,@trev_barry,Trevor Franklin,"I always laugh when I hear the saying ""white people can't handle spice"" but I just started crying/dripping b/c my General Tao was too spicy",https://twitter.com/trev_barry/status/895064486922645504,Twitter for Android,New,0.00,10.00
08/08/2017 22:09:52,@trev_barry,Trevor Franklin,@avatarrishi You would think so 😂,https://twitter.com/trev_barry/status/895044416267841537,Twitter for Android,Reply (native),0.00,0.00
08/08/2017 21:28:33,@trev_barry,Trevor Franklin,Just a little appreciation post of my best friend Kai's glowup cuz I think this needs to be talked about more. https://t.co/8Df9T3LNKY,https://twitter.com/trev_barry/status/895034018638462977,Twitter for Android,New,0.00,32.00
08/08/2017 18:45:25,@trev_barry,Trevor Franklin,Why flirt with hot people irl when you can just subtly like their posts on social,https://twitter.com/trev_barry/status/894992966237990912,Twitter for Android,New,0.00,6.00
08/08/2017 15:27:34,@trev_barry,Trevor Franklin,@jordanlacarney @SoDamnTrue @Ballzzina For real I died when I got home,https://twitter.com/trev_barry/status/894943174833123329,Twitter for Android,Reply (native),0.00,2.00
07/08/2017 14:05:30,@trev_barry,Trevor Franklin,@ricardojkay @drewmitchyfabes @kateptashnik k8 @jordanlacarney @Ballzzina,https://twitter.com/trev_barry/status/894560131878449152,Twitter for Android,Reply (native),0.00,3.00
06/08/2017 13:55:02,@trev_barry,Trevor Franklin,RT @naciasi: rt if you've never seen the despacito video https://t.co/NTaiEJdCKr,https://twitter.com/trev_barry/status/894195110539341826,Twitter for Android,Retweet (native),"207,877.00","231,430.00"
05/08/2017 23:08:09,@trev_barry,Trevor Franklin,I can honestly say I live for your bio @mlev28,https://twitter.com/trev_barry/status/893971921142001669,Twitter for Android,New,0.00,2.00
05/08/2017 21:59:25,@trev_barry,Trevor Franklin,Some of us never got past this stage @realDonaldTrump https://t.co/ji2b4vvwce,https://twitter.com/trev_barry/status/893954620321656833,Twitter for Android,New,0.00,15.00
05/08/2017 12:57:18,@trev_barry,Trevor Franklin,I'm actually a morning person but trying to have a convo with me 10 seconds after I wake up is going to be a no from me,https://twitter.com/trev_barry/status/893818195769008128,Twitter for Android,New,1.00,5.00
04/08/2017 23:50:45,@trev_barry,Trevor Franklin,The sound of dishes crashing when you close the cupboard is the sound of someone else's problem,https://twitter.com/trev_barry/status/893620251300159488,Twitter for Android,New,1.00,18.00
04/08/2017 0:05:57,@trev_barry,Trevor Franklin,I'm watching an early 2000's Rom com with the fam. Let's see how many times this film can be subtly sexist in two hours,https://twitter.com/trev_barry/status/893261689239605248,Twitter for Android,New,0.00,1.00
03/08/2017 13:09:30,@trev_barry,Trevor Franklin,@MyiaHall Thanks that's what I thought 😂,https://twitter.com/trev_barry/status/893096488649338880,Twitter for Android,Reply (native),0.00,1.00
03/08/2017 3:09:35,@trev_barry,Trevor Franklin,RT @Ballzzina: How much hot sauce do you need to drink to kill yourself? Siri won't tell me,https://twitter.com/trev_barry/status/892945515368853504,Twitter for Android,Retweet (native),5.00,17.00
02/08/2017 16:52:24,@trev_barry,Trevor Franklin,Anyone who says that they don't enjoy some juicy gossip is a dirty liar. Good tea brings everyone joy lol,https://twitter.com/trev_barry/status/892790197527748608,Twitter for Android,New,0.00,6.00
02/08/2017 6:00:58,@trev_barry,Trevor Franklin,"It's 2 am and all I can think about is how at the movies when I was 12 the cashier told me to enjoy the movie and I said ""you too""",https://twitter.com/trev_barry/status/892626256465989633,Twitter for Android,New,0.00,4.00
01/08/2017 16:28:09,@trev_barry,Trevor Franklin,Me when I don't want to get my hair wet https://t.co/5DvMoFkLpA,https://twitter.com/trev_barry/status/892421704496160768,Twitter for Android,New,0.00,1.00
31/07/2017 22:11:45,@trev_barry,Trevor Franklin,It's only the first half of my shift at work and my social battery has already run out,https://twitter.com/trev_barry/status/892145785256763394,Twitter for Android,New,0.00,5.00
31/07/2017 03:05:33,@trev_barry,Trevor Franklin,RT @JustinRoiland: Holy shit. https://t.co/vNEIfHTmNU,https://twitter.com/trev_barry/status/891857334582071296,Twitter for Android,Retweet (native),"138,625.00","335,187.00"
31/07/2017 02:21:49,@trev_barry,Trevor Franklin,@Moxie___ Yea sure it is,https://twitter.com/trev_barry/status/891846329634353152,Twitter for Android,Reply (native),0.00,0.00
31/07/2017 01:39:27,@trev_barry,Trevor Franklin,RT @absurdistwords: Men aren't taught to explore and familiarize themselves with their own emotions so lack language to describe and recogn…,https://twitter.com/trev_barry/status/891835666627252224,Twitter for Android,Retweet (native),"1,459.00","2,591.00"
31/07/2017 01:37:06,@trev_barry,Trevor Franklin,"RT @RaveenTheDream: ""I DON'T HAVE TO BE NICE TO NOBODY WHEN YOU'RE BEING NASTY TO POOR PEOPLE"" 
Who let my granddaddy in Congress? https://…",https://twitter.com/trev_barry/status/891835075985367040,Twitter for Android,Retweet (native),"31,522.00","56,415.00"
31/07/2017 01:34:51,@trev_barry,Trevor Franklin,I think about this daily https://t.co/hcL8DsLhti,https://twitter.com/trev_barry/status/891834510966497280,Twitter for Android,New,0.00,5.00
30/07/2017 20:31:54,@trev_barry,Trevor Franklin,"Workout goals:
Exercise to the point of being able to eat a shit ton of ice cream without gaining weight",https://twitter.com/trev_barry/status/891758271052357633,Twitter for Android,New,0.00,14.00
30/07/2017 03:32:05,@trev_barry,Trevor Franklin,"It's late at night. Time to play the:
 ""Am I hungry or am I bored?"" game",https://twitter.com/trev_barry/status/891501627621945344,Twitter for Android,New,4.00,8.00
28/07/2017 21:00:42,@trev_barry,Trevor Franklin,I feel like people don't often really get a chance to talk about their passions and interests and that shit fascinates me,https://twitter.com/trev_barry/status/891040743015493633,Twitter for Android,Reply (native),0.00,2.00
28/07/2017 20:59:12,@trev_barry,Trevor Franklin,Listening to people talk about their passions I could do all day. It's the best way to understand someone without having to talk,https://twitter.com/trev_barry/status/891040365121339392,Twitter for Android,New,2.00,13.00
27/07/2017 20:08:55,@trev_barry,Trevor Franklin,@kateptashnik Lol nice photo choices 😂,https://twitter.com/trev_barry/status/890665323417935872,Twitter for Android,Reply (native),0.00,1.00
27/07/2017 13:29:18,@trev_barry,Trevor Franklin,@kay_dog_ Aww thanks!!!!!,https://twitter.com/trev_barry/status/890564754560999425,Twitter for Android,Reply (native),0.00,1.00
27/07/2017 13:28:52,@trev_barry,Trevor Franklin,"RT @kay_dog_: Happy birthday, Trevor!! Hope your day is amazing. https://t.co/dNSf0aHQ05",https://twitter.com/trev_barry/status/890564649124548608,Twitter for Android,Retweet (native),1.00,3.00
26/07/2017 20:42:13,@trev_barry,Trevor Franklin,@Uncle_Rissy Well that's news info to me... now I gotta figure out a better handle lol,https://twitter.com/trev_barry/status/890311315927031808,Twitter for Android,Reply (native),0.00,0.00
26/07/2017 20:25:09,@trev_barry,Trevor Franklin,Does anyone else regret the Twitter handle they made when they were like 13?? Cuz mine is named after a meme in case anyone is wondering,https://twitter.com/trev_barry/status/890307021806997505,Twitter for Android,New,0.00,11.00
26/07/2017 03:21:25,@trev_barry,Trevor Franklin,As the summer is winding down a Cedar Point trip seemed in order. https://t.co/SEoWuqC7vu,https://twitter.com/trev_barry/status/890049390047617026,Twitter for Android,New,0.00,4.00
24/07/2017 20:07:52,@trev_barry,Trevor Franklin,When you're bored at work so you have a photo shoot https://t.co/KMacdyiWHe,https://twitter.com/trev_barry/status/889577897123602432,Twitter for Android,New,2.00,18.00
24/07/2017 01:06:26,@trev_barry,Trevor Franklin,"RT @neiltyson: Geeky Humor: Photon checks into a hotel. Bellhop asks, ""You have any luggage?"" The Photon replies, ""No, I'm traveling light!""",https://twitter.com/trev_barry/status/889290644690272256,Twitter for Android,Retweet (native),"25,050.00","86,678.00"
20/07/2017 02:00:34,@trev_barry,Trevor Franklin,"RT @scarlettphares: PSA!!! ur friends that work 40+ hours a week don't wanna hang out when they're off bc we're tired, not bc we don't wann…",https://twitter.com/trev_barry/status/887854718109831168,Twitter for Android,Retweet (native),"29,778.00","52,016.00"
16/07/2017 03:29:10,@trev_barry,Trevor Franklin,When the dj plays a sexy song but you're related to 90% of the room https://t.co/jfECMLGQvR,https://twitter.com/trev_barry/status/886427461231284225,Twitter for Android,New,0.00,11.00
15/07/2017 20:47:35,@trev_barry,Trevor Franklin,"Does Jake Peralta recognize this as a national holiday?
@thelonelyisland https://t.co/XYngBw3KA4",https://twitter.com/trev_barry/status/886326397752537088,Twitter for Android,New,0.00,0.00
14/07/2017 12:53:55,@trev_barry,Trevor Franklin,@kay_dog_ What??? 😂😂   that's too funny lol,https://twitter.com/trev_barry/status/885844810371878912,Twitter for Android,Reply (native),0.00,1.00
14/07/2017 01:04:59,@trev_barry,Trevor Franklin,"RT @neiltyson: The US Constitution grants freedom of speech in its First Amendment, but does not protect you from ridicule for being wrong.",https://twitter.com/trev_barry/status/885666400152543233,Twitter for Android,Retweet (native),"30,717.00","89,746.00"
11/07/2017 1:59:42,@trev_barry,Trevor Franklin,@alli_contrary Literally the movie I was just watching,https://twitter.com/trev_barry/status/884593007672086528,Twitter for Android,Reply (native),0.00,1.00
11/07/2017 1:39:09,@trev_barry,Trevor Franklin,"Apparently I'm a ""bummer"" for pointing out every bit of sexism &amp; homophobia in this early 2000s Rom com my fam is watching",https://twitter.com/trev_barry/status/884587835038330886,Twitter for Android,New,0.00,6.00
10/07/2017 0:30:20,@trev_barry,Trevor Franklin,I feel like my life is one of those sentences you start but have no idea how to finish so you just kinda meander around.,https://twitter.com/trev_barry/status/884208128950140928,Twitter for Android,New,1.00,14.00
07/07/2017 3:18:07,@trev_barry,Trevor Franklin,I honestly feel so attacked right now https://t.co/OYWze926MK,https://twitter.com/trev_barry/status/883163191567671297,Twitter for Android,New,0.00,5.00
05/07/2017 3:28:44,@trev_barry,Trevor Franklin,"RT @LiesOverOcean: Update: if I had $1 for every time a White Person said ""aw it sucks you have to work on the holiday"" and not tip me... I…",https://twitter.com/trev_barry/status/882441085393526785,Twitter for Android,Retweet (native),2.00,18.00
04/07/2017 19:46:55,@trev_barry,Trevor Franklin,There is nothing more American than the sounds of random explosions and gunshots on the 4th of July,https://twitter.com/trev_barry/status/882324864190885888,Twitter for Android,New,0.00,8.00
04/07/2017 1:27:31,@trev_barry,Trevor Franklin,Lengthy social interactions are exhausting,https://twitter.com/trev_barry/status/882048193768325123,Twitter for Android,New,0.00,2.00
03/07/2017 16:09:50,@trev_barry,Trevor Franklin,RT @ItsJoshPeck: Let's talk politics so we can hate each other faster.,https://twitter.com/trev_barry/status/881907847923216385,Twitter for Android,Retweet (native),"2,391.00","9,112.00"
03/07/2017 14:31:00,@trev_barry,Trevor Franklin,The woman next to me at the gym is squatting with heels on. Meanwhile my sweaty ass is struggling to squat half the weight she is lol,https://twitter.com/trev_barry/status/881882974748381184,Twitter for Android,New,0.00,15.00
01/07/2017 14:40:43,@trev_barry,Trevor Franklin,@MelaninPot Thanks 😍😂,https://twitter.com/trev_barry/status/881160646267731969,Twitter for Android,Reply (native),0.00,0.00
01/07/2017 14:38:09,@trev_barry,Trevor Franklin,Oh and also fluoride is bad for some reason???,https://twitter.com/trev_barry/status/881159998985969665,Twitter for Android,Reply (native),0.00,2.00
01/07/2017 14:37:12,@trev_barry,Trevor Franklin,"Like ""institutional racism is still present in our judicial system"" and ""congressman don't care about voters they just want to get rich""",https://twitter.com/trev_barry/status/881159761374457857,Twitter for Android,Reply (native),0.00,7.00
01/07/2017 14:35:28,@trev_barry,Trevor Franklin,I've been watching conspiracy vids on youtube for like 2 hours now and they got me believing all sorts of crazy things,https://twitter.com/trev_barry/status/881159322906107904,Twitter for Android,New,0.00,8.00
29/06/2017 20:25:58,@trev_barry,Trevor Franklin,@kay_dog_ Omg I need to watch! Lol,https://twitter.com/trev_barry/status/880522755850088448,Twitter for Android,Reply (native),0.00,0.00
29/06/2017 14:21:39,@trev_barry,Trevor Franklin,"RT @camphalfblood: Saw Wonder Woman. Enjoyed it! Resisted urge to yell at screen: ""Ares was the PATRON GOD of the Amazons!"" Hollywood's gon…",https://twitter.com/trev_barry/status/880431070382092288,Twitter for Android,Retweet (native),"1,966.00","8,060.00"
28/06/2017 19:40:54,@trev_barry,Trevor Franklin,"RT @MalcolmXElliott: Cuz for years we been dodging potholes, dogs, deers, cats, squirrels, possums, prostitutes, crackheads, 12, etc. Our s…",https://twitter.com/trev_barry/status/880149024237604864,Twitter for Android,Retweet (native),"2,474.00","6,780.00"
25/06/2017 22:08:41,@trev_barry,Trevor Franklin,RT @Ayalerrr: My man Michael looking like CEO of Dunder Mifflin https://t.co/lgWpUdhedj,https://twitter.com/trev_barry/status/879099053656637440,Twitter for Android,Retweet (native),"46,842.00","106,047.00"
25/06/2017 04:24:53,@trev_barry,Trevor Franklin,@C_Rarey Ok fine drag me then lol I've been rediscovering my childhood this summer,https://twitter.com/trev_barry/status/878831336072650753,Twitter for Android,Reply (native),0.00,1.00
25/06/2017 04:14:18,@trev_barry,Trevor Franklin,@C_Rarey Beloved by us at least 😂,https://twitter.com/trev_barry/status/878828673465450496,Twitter for Android,Reply (native),0.00,1.00
25/06/2017 03:55:20,@trev_barry,Trevor Franklin,"People really slept on the movie Happy Feet, the soundtrack is pretty lit",https://twitter.com/trev_barry/status/878823900741861377,Twitter for Android,New,0.00,2.00
24/06/2017 19:29:25,@trev_barry,Trevor Franklin,RT @jackieepelayo: wow I was clicking on everyone's Bitmoji not knowing that it tells them that I checked their location 😂😂 https://t.co/rh…,https://twitter.com/trev_barry/status/878696584455700480,Twitter for Android,Retweet (native),"96,280.00","119,839.00"
23/06/2017 02:02:28,@trev_barry,Trevor Franklin,"Evening update: listening to my relatives  rip on a stuck RV owner in the road
 ""rich people just the attention; probably did it on purpose""",https://twitter.com/trev_barry/status/878070721225703425,Twitter for Android,New,0.00,1.00
22/06/2017 20:22:39,@trev_barry,Trevor Franklin,"Apparently people are ""too PC"" these days according to my cousin when I politely ask him to stop saying retarded",https://twitter.com/trev_barry/status/877985204060553216,Twitter for Android,New,0.00,6.00
22/06/2017 18:06:27,@trev_barry,Trevor Franklin,Why do adults expect us to merrily work our minimum wage jobs when the horrors of crushing student debt weight so heavily on our shoulders?,https://twitter.com/trev_barry/status/877950928933933057,Twitter for Android,New,0.00,10.00
22/06/2017 18:00:57,@trev_barry,Trevor Franklin,"""Why dies he work hete when he doesn't seem passionate about serving ice cream?"" IDK maybe b/c in this economy that's all he could find??",https://twitter.com/trev_barry/status/877949542095663104,Twitter for Android,Reply (native),0.00,4.00
22/06/2017 17:59:06,@trev_barry,Trevor Franklin,According to my uncle my generation is spoiled b/c our ice crean server didn't seem happy to be serving us.,https://twitter.com/trev_barry/status/877949078272843776,Twitter for Android,New,0.00,6.00
22/06/2017 17:09:13,@trev_barry,Trevor Franklin,@TheYolord Yea lol,https://twitter.com/trev_barry/status/877936523319975936,Twitter for Android,Reply (native),0.00,1.00
22/06/2017 16:37:42,@trev_barry,Trevor Franklin,"Update: according to my aunt my generation are overmedicating ourselves with all these ""excssive vaccines""",https://twitter.com/trev_barry/status/877928595418566657,Twitter for Android,New,0.00,4.00
22/06/2017 16:24:50,@trev_barry,Trevor Franklin,Will be listening to my relatives complain about how my generation is dooming the planet so passive agressive tweets will follow,https://twitter.com/trev_barry/status/877925356820365313,Twitter for Android,New,0.00,9.00
22/06/2017 16:22:22,@trev_barry,Trevor Franklin,"I'm sick of baby boomers calling our want of basic health care, safe places to live and work, and a living wage a ""sense of entitlement""",https://twitter.com/trev_barry/status/877924733257269251,Twitter for Android,New,0.00,10.00
19/06/2017 16:40:32,@trev_barry,Trevor Franklin,This was literally my OTP when vine was a thing 😂😂 https://t.co/J0bN2ZZsqQ,https://twitter.com/trev_barry/status/876842144043941888,Twitter for Android,New,0.00,2.00
06/06/2017 15:34:25,@trev_barry,Trevor Franklin,When you forgot that our Lord and savior Bill Nye says that gender and sex are a spectrum. https://t.co/UidtPtRVTC,https://twitter.com/trev_barry/status/872114462983168000,Twitter for Android,New,0.00,6.00
05/06/2017 18:30:15,@trev_barry,Trevor Franklin,RT @UberFacts: Woooo! https://t.co/dVzHT94aXV,https://twitter.com/trev_barry/status/871796325209296899,Twitter for Android,Retweet (native),644.00,"2,916.00"
05/06/2017 18:29:06,@trev_barry,Trevor Franklin,@FillWerrell @KaiSchiefer,https://twitter.com/trev_barry/status/871796036586655744,Twitter for Android,Reply (native),0.00,0.00
05/06/2017 18:28:34,@trev_barry,Trevor Franklin,"RT @HSW3K: Spend 12 years trying to get hired to direct Wonder Woman.

Get hired.

93% Rotten Tomatoes

$100 million domestic debut.

Male…",https://twitter.com/trev_barry/status/871795899609096194,Twitter for Android,Retweet (native),"41,814.00","104,372.00"
04/06/2017 23:50:50,@trev_barry,Trevor Franklin,@alli_contrary Why not start now?,https://twitter.com/trev_barry/status/871514613505867776,Twitter for Android,Reply (native),0.00,3.00
01/06/2017 16:58:38,@trev_barry,Trevor Franklin,RT @norm: The internet wastes no time. #covfefe https://t.co/MDDdSNRtI1,https://twitter.com/trev_barry/status/870323715996868608,Twitter for Android,Retweet (native),"1,715.00","5,152.00"
27/05/2017 22:01:34,@trev_barry,Trevor Franklin,@kay_dog_ awwww I'm blushing 😂,https://twitter.com/trev_barry/status/868588012099293186,Twitter for Android,Reply (native),0.00,1.00
24/05/2017 18:37:16,@trev_barry,Trevor Franklin,RT @Mwass_: RT if you're a youth and your phone does not have tentacles. https://t.co/fMmCjOzSWw,https://twitter.com/trev_barry/status/867449436666032130,Twitter for Android,Retweet (native),"109,363.00","168,651.00"
23/05/2017 02:21:17,@trev_barry,Trevor Franklin,Star Wars episode 8 https://t.co/tOrlVljgoW,https://twitter.com/trev_barry/status/866841435139649536,Twitter for Android,New,0.00,4.00
20/05/2017 21:34:50,@trev_barry,Trevor Franklin,"Ladies if your boyfriend wears a romper, you have a manly AF boyfriend. It takes balls to wear whatever you want https://t.co/AwXVuXOQQd",https://twitter.com/trev_barry/status/866044569946816512,Twitter for Android,New,0.00,7.00
20/05/2017 15:34:28,@trev_barry,Trevor Franklin,I should really hire a ghost writer for all my tweets/insta captions. Some of yall are suspiciously creative.,https://twitter.com/trev_barry/status/865953880538009600,Twitter for Android,New,0.00,11.00
20/05/2017 15:07:39,@trev_barry,Trevor Franklin,RT @WellieBoyce: When she uses a fidget spinner as a butt plug 😍😍😍,https://twitter.com/trev_barry/status/865947131353419776,Twitter for Android,Retweet (native),20.00,84.00
19/05/2017 12:07:51,@trev_barry,Trevor Franklin,"The media is sexist example number: 42,245 https://t.co/imLX2Hn9KH",https://twitter.com/trev_barry/status/865539497177391104,Twitter for Android,New,0.00,1.00
18/05/2017 23:43:45,@trev_barry,Trevor Franklin,"RT @RepAlGreen: Today on the floor of the Congress of the United States of America, I will call for the Impeachment of the President betwee…",https://twitter.com/trev_barry/status/865352238352531456,Twitter for Android,Retweet (native),"48,228.00","121,888.00"
18/05/2017 21:14:16,@trev_barry,Trevor Franklin,Shrek is love https://t.co/0fUM072NHk,https://twitter.com/trev_barry/status/865314618444582912,Twitter for Android,New,0.00,1.00
12/05/2017 0:45:20,@trev_barry,Trevor Franklin,RT @CNNValencia: One demonstrator escorted out of @BetsyDeVos speech. https://t.co/VmssgmakMR,https://twitter.com/trev_barry/status/862831021112340480,Twitter for Android,Retweet (native),"3,116.00","5,771.00"
12/05/2017 0:38:58,@trev_barry,Trevor Franklin,@AllKnowA @HSConfessionaI @JCB_Magnum,https://twitter.com/trev_barry/status/862829416686256128,Twitter for Android,Reply (native),0.00,0.00
10/05/2017 15:46:30,@trev_barry,Trevor Franklin,RT @mlev28: it amazes me how offended some conservatives get when a marginalized group stands up for itself lol and they call other people…,https://twitter.com/trev_barry/status/862333032375734277,Twitter for Android,Retweet (native),2.00,21.00
08/05/2017 18:25:39,@trev_barry,Trevor Franklin,RT @HornetPrincipal: @SalineHSchoir MSU A Capella group Capital Green at SHS.  #shslearn @EducateSaline https://t.co/mAtW9NmvZn,https://twitter.com/trev_barry/status/861648307713605632,Twitter for Android,Retweet (native),6.00,12.00
08/05/2017 14:34:36,@trev_barry,Trevor Franklin,@FillWerrell  @JCB_Magnum,https://twitter.com/trev_barry/status/861590160118607872,Twitter for Android,Reply (native),0.00,0.00
08/05/2017 12:57:07,@trev_barry,Trevor Franklin,👏👏👏👏 https://t.co/lupcDz2weS,https://twitter.com/trev_barry/status/861565629937188866,Twitter for Android,New,0.00,1.00
04/05/2017 13:53:50,@trev_barry,Trevor Franklin,RT @cori_616: This is a gem from FHS tbh https://t.co/xyRPu8GV7V,https://twitter.com/trev_barry/status/860130348780466177,Twitter for iPhone,Retweet (native),2.00,7.00
04/05/2017 3:04:04,@trev_barry,Trevor Franklin,@FillWerrell @MerrillinMonfro,https://twitter.com/trev_barry/status/859966829904748544,Twitter for iPhone,Reply (native),0.00,1.00
02/05/2017 22:56:54,@trev_barry,Trevor Franklin,This is why Jimmy Kimmel is my favorite talk show host. We need more men on TV who are not afraid to express their emotions https://t.co/QknMpcpWWF,https://twitter.com/trev_barry/status/859542242146619394,Twitter for iPhone,New,0.00,1.00
02/05/2017 20:16:38,@trev_barry,Trevor Franklin,@ericgoneill Up for sure Riley knows what's up,https://twitter.com/trev_barry/status/859501910252032001,Twitter for iPhone,Reply (native),0.00,2.00
30/04/2017 00:30:26,@trev_barry,Trevor Franklin,"RT @TheWeirdWorld: I find the religious side of humans beautiful, but I find the human side of religion quite ugly.",https://twitter.com/trev_barry/status/858478614236602368,Twitter for iPhone,Retweet (native),756.00,"2,774.00"
